Period_dt,Region,Segment,yhat
2027-07-01,West Midlands,All dwellings,373715.49920231436
2027-10-01,West Midlands,All dwellings,360106.82530941686
2028-01-01,West Midlands,All dwellings,364109.86029234465
2028-04-01,West Midlands,All dwellings,366226.1422080796
2028-07-01,West Midlands,All dwellings,348980.195014402
2028-10-01,West Midlands,All dwellings,339257.31902380404
2026-01-01,Yorkshire and the Humber,All dwellings,253446.17141652308
2026-04-01,Yorkshire and the Humber,All dwellings,252289.7721502413
2026-07-01,Yorkshire and the Humber,All dwellings,261845.69018033126
2026-10-01,Yorkshire and the Humber,All dwellings,270251.23266419925
2027-01-01,Yorkshire and the Humber,All dwellings,271532.2582823518
2027-04-01,Yorkshire and the Humber,All dwellings,278229.85236057785
2027-07-01,Yorkshire and the Humber,All dwellings,280994.0384863738
2027-10-01,Yorkshire and the Humber,All dwellings,276166.77673330583
2028-01-01,Yorkshire and the Humber,All dwellings,267990.4746078255
2028-04-01,Yorkshire and the Humber,All dwellings,274799.8638188996
2028-07-01,Yorkshire and the Humber,All dwellings,275315.6065452069
2028-10-01,Yorkshire and the Humber,All dwellings,273942.38400784845
